2017-12-10 20:24:44.469,2284,14487,39,3281,4232,3042,3195,1438,3588,3067,5000,9512,9513,14969,3413,2375,10023,8514,2375,1383,4800,4745,0
2017-12-10 20:24:45.212,2278,14535,39,3283,4232,3034,3195,1438,3577,3045,5000,9501,9502,14940,3430,2371,9996,8503,2371,1383,4800,4744,0
2017-12-10 20:24:45.957,2276,14582,39,3283,4232,3035,3195,1433,3588,3035,5000,9512,9513,14852,3414,2257,10121,8494,2257,1349,4794,4741,0
2017-12-10 20:24:46.677,2244,14503,39,3284,4232,3032,3195,1390,3631,2917,5000,9522,9523,14387,3247,2287,9674,8239,2287,1365,4536,4736,0
2017-12-10 20:24:47.411,2244,14503,39,3284,4232,3029,3195,1390,3631,2892,5000,9533,9523,14212,3209,2197,9603,8180,2197,1339,4471,4734,0
2017-12-10 20:24:48.138,2225,14582,40,3286,4232,3026,3195,1336,3679,2737,5000,9543,9544,13773,3058,2154,9111,7854,2154,1331,4139,4728,0
2017-12-10 20:24:48.872,2213,14439,40,3287,4232,3023,3195,1320,3701,2647,5000,9534,9534,13366,2910,2038,8811,7677,2038,1300,3957,4713,0
2017-12-10 20:24:49.607,2194,14065,41,3288,4232,3021,3195,1276,3739,2498,5000,9595,9596,12783,2167,1597,6564,7196,1597,1171,3543,4687,0
2017-12-10 20:24:50.338,2152,14440,41,3288,4232,3019,3196,1099,3916,1897,5000,9627,9627,11790,1793,1076,5462,6714,1076,1086,3380,4652,0
2017-12-10 20:24:51.070,2109,14535,41,3290,4232,3019,3196,1093,3927,1760,5000,9627,9627,11061,1506,790,4911,6306,790,1047,3154,4606,0
2017-12-10 20:24:51.792,2057,14376,41,3291,4232,3031,3196,975,4040,1427,5000,9638,9638,10625,1334,766,4578,6041,766,1048,2920,4561,0
2017-12-10 20:24:52.528,2031,14517,41,3293,4232,3039,3196,996,4030,1451,5000,9638,9638,10362,1191,893,3763,5927,893,1064,2863,4608,0
2017-12-10 20:24:53.254,2076,14504,41,3293,4232,3044,3196,1039,3970,1666,5000,9658,9659,10421,1208,934,3913,5944,934,1068,2872,4626,0
2017-12-10 20:24:53.967,2100,13984,41,3294,4232,3056,3196,1039,3976,1666,5000,9647,9648,10450,1250,922,3898,5974,922,1064,2887,4645,0
2017-12-10 20:24:54.694,2104,14440,42,3296,4232,3068,3196,1018,3997,1589,5000,9647,9648,10508,1355,864,3968,5836,864,1053,2818,4657,0
2017-12-10 20:24:55.391,2134,14535,43,3296,4232,3079,3197,1012,3997,1536,5000,9649,9638,10420,1411,786,4623,5795,786,1041,2790,4646,0
2017-12-10 20:24:56.144,2093,14503,43,3297,4232,3093,3197,969,4046,1472,5000,9626,9627,10245,1331,733,4418,5691,733,1035,2582,4620,0
2017-12-10 20:24:56.878,2081,14504,43,3299,4232,3103,3197,953,4062,1363,5000,9647,9648,10129,1219,719,4086,5729,719,1033,2658,4613,0
2017-12-10 20:24:57.603,2081,14408,44,3299,4232,3108,3197,980,4035,1395,5000,9627,9627,10099,1311,659,4310,5534,659,1027,2268,4570,0
2017-12-10 20:24:58.304,2034,14423,43,3301,4232,3116,3197,959,4051,1378,5000,9637,9638,10158,1334,776,4026,5606,776,1044,2412,4607,0
2017-12-10 20:24:59.021,2106,14582,43,3301,4232,3119,3197,1023,3992,1596,5000,9627,9627,10158,1386,871,4520,5695,871,1050,2590,4682,0
2017-12-10 20:24:59.763,2153,14518,43,3301,4232,3145,3198,1039,3981,1635,5000,9638,9638,10333,1419,823,4482,5713,823,1048,2665,4646,0
2017-12-10 20:25:00.477,2106,14504,43,3303,4232,3151,3198,986,4030,1471,5000,9637,9638,10304,1348,781,4354,5750,781,1045,2755,4619,0
2017-12-10 20:25:01.202,2077,14472,42,3303,4232,3157,3198,991,4030,1490,5000,9647,9648,10344,1346,853,4116,5665,853,1055,2589,4627,0
2017-12-10 20:25:01.920,2112,14065,42,3304,4232,3154,3198,1007,4003,1553,5000,9658,9659,10362,1337,818,4312,5758,818,1047,2761,4635,0
2017-12-10 20:25:02.651,2100,14298,42,3304,4232,3156,3198,975,4040,1448,5000,9627,9627,10362,1291,778,4075,5644,778,1045,2553,4612,0
